sample,elapsed_s,mark,calibratorCalibrated,ikCalibrated,trackingAssigned,mappingCalibrated,simulatedInput,dataSource,leftAvailable,rightAvailable,leftFallback,rightFallback,leftValgus_deg,rightValgus_deg,leftFlex_deg,rightFlex_deg,swayRMS_mm,swayVelocity_mps,symmetry_pct,leftReach_pct,rightReach_pct,pelvis_x,pelvis_y,pelvis_z,leftKnee_x,leftKnee_y,leftKnee_z,rightKnee_x,rightKnee_y,rightKnee_z,leftAnkle_x,leftAnkle_y,leftAnkle_z,rightAnkle_x,rightAnkle_y,rightAnkle_z
402,44.630,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.504,0.476,6.587,6.058,8.695,0.010,8.371,0.000,0.330,1.539,0.127,1.967,1.640,-0.403,1.963,1.457,-0.402,1.954,1.621,-0.865,1.995,1.465,-0.865,1.987
403,44.752,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.456,0.445,6.525,6.057,8.332,0.018,7.437,0.000,0.381,1.540,0.128,1.966,1.641,-0.402,1.962,1.457,-0.401,1.953,1.622,-0.864,1.994,1.465,-0.864,1.987
404,44.864,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.427,0.433,6.478,6.037,8.023,0.022,7.046,0.000,0.399,1.541,0.128,1.965,1.641,-0.402,1.962,1.457,-0.401,1.953,1.622,-0.864,1.994,1.465,-0.864,1.987
405,44.985,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.424,0.428,6.441,6.019,7.644,0.007,6.774,0.000,0.442,1.541,0.130,1.963,1.641,-0.400,1.961,1.457,-0.399,1.952,1.622,-0.862,1.994,1.465,-0.862,1.987
406,45.085,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.410,0.431,6.444,6.043,7.346,0.010,6.419,0.000,0.449,1.541,0.131,1.962,1.641,-0.399,1.960,1.458,-0.398,1.952,1.622,-0.861,1.994,1.465,-0.861,1.988
407,45.197,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.404,0.435,6.456,6.101,7.050,0.015,5.660,0.000,0.509,1.542,0.132,1.961,1.642,-0.398,1.960,1.458,-0.398,1.951,1.622,-0.860,1.994,1.465,-0.860,1.988
408,45.319,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.385,0.423,6.474,6.167,6.691,0.010,4.861,0.000,0.567,1.542,0.132,1.960,1.642,-0.398,1.959,1.458,-0.398,1.951,1.622,-0.860,1.994,1.465,-0.860,1.989
409,45.421,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.358,0.402,6.505,6.253,6.396,0.003,3.951,0.000,0.542,1.543,0.131,1.960,1.642,-0.399,1.959,1.458,-0.399,1.951,1.622,-0.861,1.995,1.465,-0.861,1.990
410,45.531,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.349,0.389,6.546,6.286,6.093,0.009,4.040,0.000,0.471,1.543,0.131,1.960,1.642,-0.399,1.959,1.458,-0.398,1.951,1.622,-0.861,1.996,1.465,-0.861,1.990
411,45.643,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.343,0.382,6.560,6.321,5.804,0.005,3.706,0.000,0.449,1.543,0.132,1.960,1.642,-0.398,1.960,1.458,-0.398,1.951,1.622,-0.860,1.996,1.465,-0.860,1.991
412,45.746,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.345,0.374,6.578,6.332,5.474,0.005,3.803,0.000,0.410,1.543,0.132,1.960,1.642,-0.397,1.960,1.458,-0.397,1.951,1.622,-0.860,1.996,1.465,-0.859,1.990
413,45.855,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.320,0.340,6.548,6.256,5.083,0.006,4.564,0.000,0.298,1.544,0.133,1.961,1.642,-0.397,1.960,1.458,-0.396,1.951,1.622,-0.859,1.996,1.465,-0.859,1.989
414,45.966,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.301,0.314,6.456,6.128,4.683,0.007,5.206,0.000,0.256,1.544,0.135,1.962,1.642,-0.395,1.960,1.459,-0.395,1.952,1.622,-0.858,1.995,1.466,-0.858,1.988
415,46.088,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.317,0.331,6.450,6.094,4.202,0.015,5.673,0.000,0.226,1.543,0.136,1.963,1.642,-0.394,1.960,1.458,-0.394,1.952,1.622,-0.856,1.994,1.466,-0.856,1.987
416,46.189,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.354,0.360,6.502,6.141,3.778,0.026,5.712,0.000,0.235,1.542,0.135,1.964,1.642,-0.394,1.961,1.458,-0.394,1.952,1.622,-0.857,1.995,1.466,-0.857,1.988
417,46.300,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.393,0.382,6.667,6.244,3.355,0.007,6.557,0.000,0.160,1.542,0.135,1.964,1.641,-0.395,1.962,1.458,-0.395,1.953,1.621,-0.857,1.997,1.465,-0.857,1.989
418,46.423,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.417,0.393,6.939,6.476,2.855,0.017,6.903,0.000,0.161,1.541,0.133,1.965,1.641,-0.397,1.963,1.457,-0.396,1.954,1.621,-0.859,2.000,1.465,-0.859,1.992
419,46.544,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.431,0.396,7.098,6.751,2.515,0.011,5.018,0.000,0.291,1.540,0.131,1.965,1.640,-0.399,1.963,1.457,-0.399,1.954,1.621,-0.861,2.002,1.465,-0.861,1.995
420,46.657,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.462,0.438,7.242,6.837,2.450,0.002,5.747,0.000,0.249,1.539,0.129,1.966,1.640,-0.401,1.964,1.457,-0.401,1.955,1.620,-0.863,2.004,1.465,-0.863,1.996
421,46.769,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.458,0.461,7.235,6.894,2.552,0.001,4.826,0.000,0.288,1.539,0.127,1.966,1.640,-0.403,1.964,1.457,-0.403,1.955,1.620,-0.865,2.004,1.465,-0.865,1.996
422,46.891,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.463,0.445,7.251,7.340,2.789,0.000,1.218,0.000,0.053,1.539,0.125,1.967,1.640,-0.405,1.964,1.457,-0.405,1.952,1.620,-0.867,2.004,1.465,-0.867,1.994
423,47.001,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.451,0.403,7.227,7.833,2.988,0.009,8.052,0.175,0.000,1.540,0.124,1.967,1.640,-0.406,1.964,1.457,-0.405,1.949,1.620,-0.867,2.003,1.465,-0.867,1.992
424,47.113,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.439,0.414,7.206,8.040,3.155,0.001,10.936,0.257,0.000,1.540,0.124,1.967,1.640,-0.406,1.964,1.457,-0.405,1.948,1.620,-0.868,2.003,1.465,-0.867,1.990
425,47.213,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.425,0.422,7.151,6.841,3.246,0.008,4.428,0.000,0.271,1.540,0.125,1.968,1.640,-0.405,1.964,1.457,-0.404,1.955,1.620,-0.867,2.002,1.465,-0.866,1.995
426,47.324,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.395,0.408,7.047,6.708,3.261,0.010,4.932,0.000,0.189,1.540,0.127,1.968,1.640,-0.403,1.964,1.457,-0.402,1.955,1.621,-0.865,2.001,1.465,-0.865,1.993
427,47.436,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.394,0.371,6.978,6.596,3.208,0.005,5.638,0.000,0.158,1.540,0.129,1.969,1.640,-0.401,1.964,1.457,-0.400,1.955,1.621,-0.863,2.000,1.466,-0.863,1.992
428,47.558,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.407,0.358,6.959,6.492,3.068,0.000,6.937,0.000,0.107,1.540,0.131,1.969,1.640,-0.399,1.964,1.457,-0.399,1.955,1.621,-0.861,1.999,1.466,-0.861,1.991
429,47.670,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.435,0.385,6.951,6.426,2.925,0.011,7.855,0.000,0.105,1.539,0.132,1.969,1.640,-0.398,1.964,1.457,-0.398,1.955,1.621,-0.860,1.999,1.466,-0.860,1.990
430,47.781,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.457,0.419,6.927,6.407,2.774,0.006,7.795,0.000,0.156,1.538,0.132,1.969,1.640,-0.398,1.964,1.456,-0.397,1.955,1.621,-0.860,1.998,1.466,-0.860,1.990
431,47.893,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.442,0.384,6.888,6.330,2.594,0.003,8.453,0.000,0.105,1.538,0.132,1.970,1.640,-0.398,1.964,1.457,-0.397,1.955,1.622,-0.860,1.998,1.467,-0.860,1.989
432,47.993,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.433,0.398,6.840,6.298,2.368,0.003,8.250,0.000,0.137,1.538,0.132,1.970,1.640,-0.397,1.964,1.457,-0.397,1.955,1.622,-0.860,1.997,1.467,-0.860,1.989
433,48.103,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.436,0.388,6.840,6.256,2.174,0.009,8.932,0.000,0.059,1.538,0.133,1.970,1.640,-0.397,1.964,1.457,-0.397,1.955,1.622,-0.859,1.997,1.467,-0.859,1.988
434,48.216,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.455,0.417,6.870,6.304,2.041,0.003,8.584,0.000,0.093,1.538,0.133,1.970,1.640,-0.397,1.964,1.456,-0.397,1.955,1.622,-0.859,1.998,1.467,-0.859,1.989
435,48.339,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.439,0.414,6.893,6.367,1.896,0.010,7.932,0.000,0.112,1.538,0.133,1.970,1.640,-0.396,1.964,1.457,-0.396,1.956,1.622,-0.859,1.998,1.467,-0.859,1.990
436,48.450,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.433,0.395,6.899,6.367,1.819,0.006,8.009,0.000,0.086,1.538,0.134,1.971,1.640,-0.396,1.964,1.457,-0.396,1.956,1.622,-0.858,1.998,1.467,-0.858,1.990
437,48.560,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.413,0.382,6.831,6.322,1.746,0.008,7.741,0.000,0.091,1.539,0.135,1.971,1.640,-0.395,1.964,1.457,-0.395,1.956,1.622,-0.857,1.997,1.467,-0.857,1.989
438,48.661,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.408,0.378,6.738,6.211,1.668,0.008,8.138,0.000,0.079,1.539,0.137,1.971,1.640,-0.393,1.964,1.457,-0.393,1.955,1.622,-0.856,1.996,1.467,-0.856,1.987
439,48.772,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.380,0.321,6.414,5.854,1.557,0.022,9.132,0.005,0.000,1.540,0.139,1.969,1.641,-0.390,1.962,1.458,-0.390,1.954,1.622,-0.853,1.992,1.468,-0.853,1.983
440,48.884,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.353,0.228,5.792,5.248,1.506,0.035,9.863,0.000,0.011,1.541,0.144,1.967,1.641,-0.386,1.959,1.458,-0.386,1.952,1.623,-0.849,1.984,1.469,-0.849,1.976
441,48.984,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.317,0.114,4.983,4.425,1.819,0.036,11.869,0.008,0.000,1.542,0.148,1.964,1.642,-0.382,1.956,1.458,-0.382,1.949,1.624,-0.845,1.974,1.470,-0.845,1.966
442,49.097,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.301,0.000,4.104,3.303,2.742,0.068,21.629,0.227,0.000,1.542,0.153,1.958,1.642,-0.377,1.952,1.458,-0.377,1.945,1.625,-0.840,1.963,1.471,-0.840,1.954
443,49.208,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.201,-0.133,3.115,2.193,4.291,0.107,34.743,0.297,0.000,1.543,0.155,1.952,1.642,-0.375,1.947,1.459,-0.374,1.941,1.626,-0.838,1.950,1.473,-0.838,1.942
444,49.318,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-4.134,-0.384,9.097,0.829,6.559,0.128,166.575,4.829,0.000,1.545,0.154,1.943,1.654,-0.373,1.997,1.459,-0.375,1.935,1.634,-0.836,1.975,1.474,-0.839,1.927
445,49.419,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-3.153,-1.028,10.324,10.091,9.259,0.133,2.278,0.676,0.000,1.549,0.152,1.931,1.652,-0.375,1.990,1.458,-0.375,1.987,1.633,-0.838,1.961,1.474,-0.838,1.953
446,49.531,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.356,-1.525,11.930,11.908,13.988,0.112,0.189,1.025,0.000,1.553,0.144,1.915,1.652,-0.382,1.980,1.460,-0.383,1.978,1.633,-0.844,1.944,1.476,-0.844,1.935
447,49.641,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-1.852,-3.031,15.543,20.026,19.672,0.160,25.207,0.000,0.600,1.556,0.129,1.896,1.653,-0.394,1.980,1.456,-0.390,2.005,1.635,-0.856,1.934,1.475,-0.850,1.943
448,49.753,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-2.226,-4.601,26.976,29.390,25.880,0.177,8.566,0.417,0.000,1.557,0.111,1.878,1.660,-0.395,2.029,1.452,-0.393,2.042,1.640,-0.854,1.959,1.473,-0.849,1.960
449,49.864,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-1.576,-6.109,35.850,37.569,32.848,0.203,4.682,0.743,0.000,1.557,0.088,1.857,1.662,-0.398,2.057,1.449,-0.397,2.069,1.644,-0.853,1.969,1.472,-0.850,1.971
450,49.975,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,0.537,-8.848,43.273,44.908,40.380,0.208,3.708,1.629,0.000,1.555,0.062,1.835,1.663,-0.401,2.075,1.448,-0.402,2.091,1.645,-0.854,1.977,1.472,-0.852,1.979
451,50.076,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,3.162,-11.953,48.580,50.230,46.489,0.168,3.341,2.485,0.000,1.553,0.040,1.819,1.663,-0.403,2.086,1.448,-0.407,2.107,1.646,-0.855,1.981,1.473,-0.853,1.983
452,50.187,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,8.359,-17.715,55.422,56.765,53.963,0.126,2.395,3.466,0.000,1.550,0.008,1.802,1.664,-0.406,2.099,1.448,-0.414,2.128,1.647,-0.856,1.985,1.474,-0.857,1.992
453,50.300,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,13.308,-23.273,59.515,60.855,60.393,0.032,2.226,4.545,0.000,1.547,-0.014,1.794,1.665,-0.408,2.106,1.448,-0.420,2.143,1.647,-0.856,1.988,1.474,-0.860,1.998
454,50.410,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,16.758,-26.511,62.654,63.541,65.013,0.009,1.406,4.865,0.000,1.546,-0.030,1.794,1.665,-0.411,2.116,1.448,-0.426,2.157,1.648,-0.857,1.991,1.475,-0.864,2.005
455,50.532,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,21.306,-30.018,64.578,65.434,68.176,0.031,1.316,5.682,0.000,1.548,-0.036,1.796,1.663,-0.412,2.120,1.449,-0.430,2.165,1.649,-0.856,1.987,1.473,-0.864,2.002
456,50.645,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,20.026,-28.010,64.824,65.198,68.933,0.034,0.575,4.717,0.000,1.552,-0.033,1.800,1.661,-0.412,2.124,1.448,-0.428,2.164,1.649,-0.855,1.984,1.471,-0.862,2.002
457,50.755,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,16.818,-25.000,63.954,64.614,68.101,0.028,1.026,4.226,0.000,1.554,-0.029,1.805,1.660,-0.414,2.127,1.446,-0.427,2.162,1.649,-0.856,1.987,1.471,-0.861,2.000
458,50.866,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,14.517,-22.337,63.845,64.473,65.949,0.019,0.979,3.617,0.000,1.556,-0.028,1.807,1.660,-0.415,2.131,1.446,-0.426,2.161,1.649,-0.856,1.989,1.470,-0.861,2.000
459,50.980,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,15.617,-23.721,64.455,65.141,62.674,0.036,1.060,3.888,0.000,1.557,-0.032,1.808,1.660,-0.416,2.134,1.446,-0.428,2.165,1.648,-0.857,1.991,1.470,-0.862,2.002
460,51.101,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,21.672,-30.125,65.787,66.280,58.338,0.018,0.748,4.963,0.000,1.560,-0.039,1.807,1.661,-0.416,2.133,1.445,-0.432,2.173,1.648,-0.857,1.989,1.469,-0.864,2.005
461,51.211,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,24.307,-32.689,65.821,66.147,52.983,0.031,0.493,5.279,0.000,1.562,-0.039,1.807,1.660,-0.415,2.131,1.444,-0.433,2.175,1.648,-0.856,1.987,1.468,-0.865,2.006
462,51.312,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,24.284,-32.277,65.104,65.356,47.950,0.038,0.386,5.049,0.000,1.565,-0.033,1.809,1.659,-0.414,2.129,1.445,-0.431,2.172,1.648,-0.855,1.984,1.469,-0.863,2.005
463,51.412,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,23.901,-31.580,64.258,64.448,42.334,0.027,0.294,4.806,0.000,1.567,-0.028,1.810,1.658,-0.414,2.127,1.445,-0.430,2.169,1.648,-0.854,1.983,1.469,-0.863,2.004
464,51.524,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,26.676,-34.294,64.564,64.476,35.183,0.032,0.137,5.165,0.000,1.570,-0.028,1.809,1.658,-0.412,2.123,1.444,-0.430,2.169,1.648,-0.853,1.979,1.469,-0.863,2.003
465,51.646,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,33.509,-41.558,65.853,65.408,28.199,0.041,0.678,6.644,0.000,1.571,-0.034,1.804,1.660,-0.410,2.118,1.442,-0.433,2.174,1.648,-0.851,1.975,1.468,-0.865,2.007
466,51.771,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,40.894,-49.344,67.136,66.353,21.760,0.036,1.174,8.468,0.000,1.572,-0.042,1.798,1.661,-0.407,2.111,1.439,-0.436,2.180,1.648,-0.849,1.971,1.466,-0.867,2.012
467,51.880,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,40.623,-49.028,67.338,66.501,16.269,0.027,1.251,8.242,0.000,1.573,-0.045,1.795,1.662,-0.408,2.112,1.439,-0.436,2.180,1.648,-0.850,1.973,1.466,-0.868,2.014
468,52.003,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,34.084,-42.607,66.239,65.763,12.812,0.017,0.722,6.478,0.000,1.573,-0.043,1.793,1.662,-0.409,2.115,1.443,-0.432,2.174,1.647,-0.853,1.980,1.467,-0.867,2.015
469,52.114,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,27.185,-35.928,64.211,64.316,11.622,0.017,0.163,5.160,0.000,1.574,-0.037,1.792,1.663,-0.410,2.115,1.446,-0.428,2.165,1.645,-0.856,1.988,1.468,-0.867,2.015
470,52.226,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,24.795,-33.726,63.210,63.708,11.836,0.034,0.784,4.919,0.000,1.574,-0.035,1.789,1.664,-0.410,2.113,1.447,-0.426,2.159,1.644,-0.857,1.990,1.469,-0.866,2.014
471,52.327,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,26.981,-36.018,63.592,64.120,12.223,0.060,0.827,5.306,0.000,1.575,-0.038,1.784,1.664,-0.409,2.109,1.447,-0.426,2.159,1.644,-0.856,1.989,1.470,-0.867,2.014
472,52.436,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,34.026,-43.359,64.729,65.054,12.815,0.075,0.501,6.645,0.000,1.577,-0.044,1.777,1.664,-0.406,2.101,1.445,-0.429,2.163,1.644,-0.855,1.983,1.469,-0.868,2.016
473,52.548,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,45.339,-55.021,65.766,65.751,13.942,0.073,0.023,9.540,0.000,1.579,-0.050,1.769,1.665,-0.402,2.085,1.438,-0.432,2.168,1.643,-0.851,1.972,1.468,-0.871,2.021
474,52.648,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,55.239,-63.748,66.338,66.045,15.752,0.086,0.442,13.695,0.000,1.581,-0.054,1.760,1.666,-0.397,2.065,1.427,-0.434,2.169,1.640,-0.848,1.959,1.465,-0.873,2.025
475,52.759,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,62.925,-65.901,66.773,66.355,18.031,0.088,0.627,19.171,0.000,1.582,-0.056,1.753,1.666,-0.394,2.045,1.415,-0.431,2.162,1.635,-0.846,1.945,1.460,-0.873,2.025
476,52.861,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.604,-52.231,67.601,67.055,20.522,0.099,0.811,23.714,0.000,1.582,-0.059,1.744,1.663,-0.391,2.030,1.411,-0.420,2.137,1.626,-0.844,1.933,1.457,-0.865,2.014
477,52.982,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,66.823,-28.442,68.539,67.640,23.810,0.061,1.320,21.878,0.000,1.584,-0.063,1.737,1.663,-0.391,2.029,1.420,-0.409,2.111,1.622,-0.843,1.932,1.459,-0.858,1.997
478,53.085,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,65.228,-14.728,69.047,67.856,26.181,0.037,1.740,19.635,0.000,1.586,-0.065,1.732,1.663,-0.392,2.031,1.427,-0.404,2.098,1.622,-0.844,1.933,1.460,-0.854,1.989
479,53.194,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,64.163,-7.769,69.351,67.950,28.170,0.028,2.040,18.320,0.000,1.587,-0.067,1.728,1.664,-0.392,2.032,1.431,-0.402,2.091,1.622,-0.844,1.933,1.461,-0.853,1.985
480,53.316,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,64.309,-9.434,69.154,67.732,28.878,0.031,2.077,18.568,0.000,1.589,-0.067,1.726,1.663,-0.392,2.030,1.431,-0.402,2.090,1.621,-0.844,1.932,1.461,-0.853,1.986
481,53.428,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,65.258,-16.525,68.711,67.456,28.490,0.017,1.844,19.811,0.000,1.589,-0.065,1.725,1.663,-0.391,2.026,1.429,-0.403,2.094,1.620,-0.844,1.931,1.461,-0.854,1.990
482,53.531,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,66.592,-28.249,68.283,67.380,27.657,0.011,1.332,21.581,0.000,1.590,-0.065,1.726,1.663,-0.391,2.022,1.424,-0.406,2.103,1.620,-0.844,1.930,1.460,-0.857,1.997
483,53.639,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.216,-35.803,68.048,67.291,26.152,0.005,1.119,22.553,0.000,1.591,-0.064,1.727,1.663,-0.391,2.021,1.421,-0.408,2.109,1.620,-0.844,1.930,1.459,-0.859,2.002
484,53.750,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.382,-41.113,67.742,67.259,23.299,0.026,0.716,22.961,0.000,1.591,-0.063,1.728,1.663,-0.391,2.020,1.419,-0.410,2.115,1.621,-0.844,1.930,1.459,-0.860,2.005
485,53.851,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.382,-47.660,67.387,66.999,19.474,0.051,0.577,23.290,0.000,1.590,-0.062,1.731,1.663,-0.391,2.020,1.416,-0.413,2.123,1.621,-0.845,1.930,1.458,-0.862,2.011
486,53.962,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,66.818,-54.177,66.874,66.586,13.781,0.053,0.432,23.043,0.000,1.589,-0.059,1.736,1.664,-0.392,2.022,1.415,-0.417,2.133,1.623,-0.846,1.931,1.458,-0.865,2.017
487,54.062,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,66.590,-54.899,66.715,66.318,9.265,0.016,0.597,22.968,0.000,1.588,-0.058,1.738,1.664,-0.393,2.023,1.414,-0.418,2.136,1.624,-0.846,1.931,1.458,-0.866,2.018
488,54.162,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,66.287,-56.616,66.586,66.185,6.378,0.048,0.603,22.798,0.000,1.587,-0.057,1.742,1.665,-0.393,2.026,1.413,-0.420,2.140,1.625,-0.846,1.933,1.458,-0.867,2.020
489,54.262,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,66.680,-55.016,66.830,66.291,6.040,0.010,0.810,23.160,0.000,1.587,-0.057,1.743,1.665,-0.393,2.027,1.413,-0.420,2.139,1.625,-0.846,1.932,1.458,-0.866,2.019
490,54.363,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.113,-51.213,67.103,66.519,6.849,0.050,0.874,23.626,0.000,1.586,-0.058,1.745,1.665,-0.393,2.029,1.412,-0.418,2.136,1.625,-0.846,1.933,1.457,-0.865,2.017
491,54.475,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.320,-45.646,67.392,66.790,7.690,0.019,0.898,23.756,0.000,1.584,-0.058,1.746,1.664,-0.393,2.030,1.412,-0.416,2.131,1.625,-0.845,1.933,1.458,-0.863,2.013
492,54.585,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.300,-42.548,67.516,66.851,8.271,0.013,0.990,23.707,0.000,1.583,-0.059,1.748,1.663,-0.393,2.032,1.411,-0.416,2.129,1.625,-0.845,1.934,1.458,-0.863,2.012
493,54.699,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.290,-43.199,67.477,66.850,8.352,0.006,0.934,23.770,0.000,1.583,-0.058,1.750,1.663,-0.393,2.033,1.411,-0.417,2.130,1.626,-0.845,1.935,1.457,-0.863,2.012
494,54.808,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.348,-40.937,67.668,66.868,8.017,0.016,1.190,23.733,0.000,1.583,-0.058,1.751,1.664,-0.393,2.035,1.411,-0.416,2.129,1.626,-0.845,1.935,1.457,-0.863,2.011
495,54.920,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,67.312,-36.541,67.991,66.956,7.185,0.008,1.534,23.424,0.000,1.584,-0.059,1.751,1.664,-0.393,2.036,1.413,-0.414,2.125,1.625,-0.844,1.935,1.457,-0.862,2.008
496,55.020,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,66.208,-25.565,68.163,66.860,5.972,0.010,1.931,21.945,0.000,1.585,-0.056,1.749,1.664,-0.393,2.036,1.419,-0.409,2.114,1.623,-0.843,1.932,1.459,-0.857,1.999
497,55.120,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,65.817,-29.471,67.170,65.942,4.893,0.041,1.845,21.973,0.000,1.584,-0.048,1.752,1.662,-0.392,2.032,1.420,-0.409,2.115,1.621,-0.842,1.927,1.460,-0.857,1.997
498,55.232,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,62.554,-58.294,63.839,63.171,4.808,0.098,1.052,20.728,0.000,1.583,-0.030,1.761,1.662,-0.391,2.027,1.415,-0.421,2.143,1.626,-0.842,1.923,1.461,-0.863,2.010
