sample,elapsed_s,mark,calibratorCalibrated,ikCalibrated,trackingAssigned,mappingCalibrated,simulatedInput,dataSource,leftAvailable,rightAvailable,leftFallback,rightFallback,leftValgus_deg,rightValgus_deg,leftFlex_deg,rightFlex_deg,swayRMS_mm,swayVelocity_mps,symmetry_pct,leftReach_pct,rightReach_pct,pelvis_x,pelvis_y,pelvis_z,leftKnee_x,leftKnee_y,leftKnee_z,rightKnee_x,rightKnee_y,rightKnee_z,leftAnkle_x,leftAnkle_y,leftAnkle_z,rightAnkle_x,rightAnkle_y,rightAnkle_z
20,2.473,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.317,-0.480,10.998,10.718,1.974,0.011,2.574,0.000,0.058,1.553,0.117,1.993,1.652,-0.410,1.946,1.454,-0.410,1.948,1.651,-0.873,1.982,1.458,-0.873,1.983
21,2.595,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.267,-0.479,10.263,9.968,2.231,0.008,2.910,0.020,0.000,1.553,0.118,1.994,1.652,-0.410,1.951,1.455,-0.410,1.953,1.651,-0.872,1.986,1.458,-0.872,1.986
22,2.696,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.202,-0.439,9.193,8.877,2.466,0.009,3.491,0.025,0.000,1.553,0.119,1.994,1.652,-0.409,1.957,1.455,-0.409,1.960,1.652,-0.872,1.990,1.458,-0.872,1.990
23,2.817,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.166,-0.384,8.060,7.825,2.737,0.006,2.953,0.186,0.000,1.553,0.120,1.994,1.652,-0.408,1.965,1.455,-0.408,1.966,1.651,-0.871,1.995,1.458,-0.871,1.994
24,2.940,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.226,-0.228,6.621,6.475,2.966,0.003,2.234,0.184,0.000,1.552,0.123,1.995,1.651,-0.406,1.974,1.455,-0.406,1.975,1.650,-0.869,2.001,1.458,-0.869,2.000
25,3.063,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.176,-0.265,6.596,6.461,3.061,0.004,2.072,0.168,0.000,1.552,0.124,1.994,1.651,-0.405,1.973,1.455,-0.405,1.975,1.651,-0.868,2.001,1.458,-0.868,2.000
26,3.185,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.141,-0.285,6.572,6.471,3.001,0.007,1.536,0.090,0.000,1.553,0.124,1.993,1.651,-0.405,1.973,1.455,-0.405,1.974,1.651,-0.868,2.001,1.458,-0.868,2.000
27,3.297,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.175,-0.260,6.585,6.484,2.852,0.004,1.541,0.062,0.000,1.552,0.122,1.992,1.651,-0.407,1.973,1.455,-0.407,1.974,1.651,-0.870,2.001,1.458,-0.870,2.001
28,3.399,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.234,-0.311,8.132,7.769,2.634,0.013,4.566,0.000,0.044,1.552,0.120,1.991,1.651,-0.409,1.962,1.455,-0.408,1.965,1.651,-0.871,1.994,1.458,-0.871,1.995
29,3.508,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.348,-0.380,10.326,10.299,2.385,0.004,0.262,0.022,0.000,1.552,0.118,1.991,1.652,-0.410,1.948,1.454,-0.410,1.949,1.651,-0.873,1.984,1.458,-0.872,1.984
30,3.631,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.399,-0.474,11.817,11.930,2.105,0.006,0.951,0.047,0.000,1.552,0.115,1.990,1.652,-0.411,1.938,1.454,-0.411,1.938,1.652,-0.874,1.977,1.457,-0.873,1.976
31,3.753,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.376,-0.578,12.727,12.841,1.956,0.010,0.886,0.020,0.000,1.553,0.114,1.989,1.653,-0.412,1.932,1.454,-0.412,1.932,1.652,-0.874,1.973,1.458,-0.874,1.972
32,3.865,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.336,-0.607,12.717,12.918,1.994,0.011,1.573,0.028,0.000,1.553,0.114,1.988,1.653,-0.412,1.932,1.454,-0.412,1.931,1.653,-0.874,1.973,1.458,-0.874,1.972
33,3.987,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.284,-0.609,12.033,12.335,2.214,0.011,2.479,0.083,0.000,1.553,0.115,1.987,1.653,-0.412,1.936,1.454,-0.411,1.935,1.653,-0.874,1.976,1.458,-0.874,1.974
34,4.099,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.274,-0.505,10.430,10.856,2.434,0.015,4.002,0.131,0.000,1.552,0.117,1.987,1.652,-0.410,1.946,1.454,-0.410,1.944,1.652,-0.873,1.983,1.458,-0.872,1.981
35,4.199,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.253,-0.436,8.872,9.347,2.638,0.008,5.217,0.231,0.000,1.551,0.119,1.987,1.651,-0.409,1.956,1.454,-0.409,1.953,1.652,-0.872,1.990,1.459,-0.871,1.987
36,4.321,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.209,-0.315,6.683,7.375,2.811,0.014,9.842,0.342,0.000,1.550,0.122,1.988,1.651,-0.408,1.970,1.454,-0.407,1.966,1.651,-0.871,1.999,1.458,-0.870,1.996
37,4.432,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.213,-0.273,6.486,6.469,2.862,0.003,0.267,0.000,0.006,1.550,0.123,1.988,1.650,-0.406,1.971,1.454,-0.406,1.972,1.651,-0.869,2.000,1.458,-0.869,2.000
38,4.532,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.189,-0.285,6.487,6.435,2.800,0.018,0.796,0.011,0.000,1.551,0.124,1.989,1.651,-0.405,1.971,1.455,-0.405,1.972,1.651,-0.868,2.000,1.458,-0.868,1.999
39,4.644,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.155,-0.295,6.501,6.392,2.640,0.013,1.702,0.080,0.000,1.551,0.124,1.990,1.651,-0.405,1.972,1.455,-0.405,1.972,1.651,-0.869,2.000,1.458,-0.868,1.999
40,4.744,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.136,-0.301,6.500,6.388,2.415,0.005,1.734,0.046,0.000,1.552,0.125,1.990,1.651,-0.405,1.972,1.455,-0.405,1.973,1.651,-0.868,2.000,1.459,-0.868,1.999
41,4.856,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.112,-0.336,6.506,6.356,2.164,0.001,2.332,0.093,0.000,1.553,0.125,1.990,1.651,-0.404,1.972,1.456,-0.404,1.973,1.651,-0.867,2.000,1.459,-0.867,1.999
42,4.956,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.091,-0.347,6.511,6.388,1.947,0.005,1.910,0.078,0.000,1.553,0.126,1.991,1.651,-0.403,1.972,1.456,-0.403,1.973,1.651,-0.867,2.000,1.459,-0.867,1.999
43,5.068,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.079,-0.355,6.528,6.408,1.792,0.010,1.855,0.082,0.000,1.553,0.126,1.991,1.651,-0.404,1.972,1.456,-0.404,1.973,1.651,-0.867,2.000,1.459,-0.867,1.999
